dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,accepted_variants,source_authority,usage_notes,first_appearance,decision,confidence
ترپتاز,Tryptase,,,ترپتاز (Tryptase),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Mast-cell marker.,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
نسج منضم سست,Loose (areolar) connective tissue,,,نسج منضم سست (Loose (areolar) connective tissue),,شل,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan teaching writes نسج منضم; شل and سست are both acceptable qualifiers.,Ch05,AFGHAN STANDARD,MEDIUM
نسج منضم متراکم,Dense connective tissue,,,نسج منضم متراکم (Dense connective tissue),بافت همبند متراکم,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,AFGHAN STANDARD,MEDIUM
تاندون,Tendon,,,تاندون (Tendon),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,AFGHAN STANDARD,MEDIUM
رباط,Ligament,,,رباط (Ligament),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,AFGHAN STANDARD,MEDIUM
نسج گرانولاسیون,Granulation tissue,,,نسج گرانولاسیون (Granulation tissue),بافت گرانوله,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Scribd Afghan lecture «Connective Tissue نسج منضم» uses this term family.,Ch05,AFGHAN STANDARD,MEDIUM
فیبروز,Fibrosis,,,فیبروز (Fibrosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
ادم,Edema,,,ادم (Edema),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
فیبرین,Fibrin,,,فیبرین (Fibrin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
رگ‌زایی,Angiogenesis,,,رگ‌زایی (Angiogenesis),,واسکولارزاسیون,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan form رگ‌زایی.,Ch05,AFGHAN STANDARD,MEDIUM
اسکوروی,Scurvy,,,اسکوروی (Scurvy),,اسکوربوت,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Vitamin-C deficiency; collagen hydroxylation fails.,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
مارفان,Marfan syndrome,,,مارفان (Marfan syndrome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch05,COMMON AFGHAN TRANSLITERATION,HIGH
جلد,Skin,,,جلد (Skin),پوست,,"Afghan MoE textbook, Science Grade 12 (moe.gov.af) — ch.1 «جلد»، «ساختمان جلد بدن»",Afghan histology text: «اپیتلیوم جلد»; Afghan clinical usage: «امراض جلدی». پوست is the Iranian form in the differential list. اپیدرم/درم/هیپودرم are kept as the international layer names.,Ch01,AFGHAN STANDARD,HIGH
اوعیهٔ دموی,Blood vessels,,,اوعیهٔ دموی (Blood vessels),رگ‌های خونی;رگهای خونی;عروق خونی,,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — «عروق خونی / موی رگها» (Afghan histology text)","CANONICAL, user-mandated. Used for the collective/plural concept. A single named vessel keeps its own term (شریان، ورید، موی‌رگ); the generic singular رگ is attested in Afghan teaching and is allowed in fixed phrases such as «دیوارهٔ رگ».",Ch01,AFGHAN STANDARD,MEDIUM
شریان,Artery,,,شریان (Artery),,,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — «قلب، شریان، ورید، موی رگها» (Afghan histology text)",,Ch01,AFGHAN STANDARD,MEDIUM
ورید,Vein,,,ورید (Vein),,,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — «قلب، شریان، ورید، موی رگها»",,Ch01,AFGHAN STANDARD,MEDIUM
شریانچه,Arteriole,,,شریانچه (Arteriole),,,"Owner-mandated canonical decision (project Terminology Gate directive, 2026-09-21). This is NOT an evidence claim and is NOT attributed to any Afghan institution.",,Ch01,AFGHAN STANDARD,MEDIUM
وریدچه,Venule,,,وریدچه (Venule),,,"Owner-mandated canonical decision (project Terminology Gate directive, 2026-09-21). This is NOT an evidence claim and is NOT attributed to any Afghan institution.",,Ch01,AFGHAN STANDARD,MEDIUM
موی‌رگ,Capillary,,,موی‌رگ (Capillary),مویرگ,,"Afghan MoE textbook, Science Grade 12 (moe.gov.af) — «موی رگهای جای پیوند … جریان خون آن ها با رگهای بزرگ در ارتباط»",Afghan written form is موی‌رگ (two elements). مویرگ is the contracted Iranian form.,Ch01,AFGHAN STANDARD,HIGH
سرخرگ,Artery (arterial),,,سرخرگ (Artery (arterial)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Afghan everyday/clinical form used for named arteries (آئورت, سرخرگ ریوی). Retained alongside the canonical شریان; the book uses شریان for the histological definition.",Ch05,AFGHAN STANDARD,MEDIUM
آنتی‌ژن,Antigen,,,آنتی‌ژن (Antigen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),[VERIFY TERMINOLOGY] Afghan sources show both آنتی‌ژن and آنتی‌نژ/آنتی‌نژن. Not an Iranian form; the book keeps آنتی‌ژن until an Afghan institutional source settles it.,Ch05,VERIFY FURTHER,UNRESOLVED
Cellulitis,Cellulitis,,,Cellulitis (Cellulitis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),No reliable Afghan Dari standard could be established; kept in English with a Dari explanation («گسترش عفونت در نسج منضم سست زیر جلد»). Rule 4 of the Terminology Gate.,Ch05,ENGLISH RETAINED,HIGH
باکتری,Bacteria,,,باکتری (Bacteria),,باکتریا,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Afghan histology text writes باکتریا; باکتری is equally current in Afghanistan and is what the book already used, so باکتری is kept as the book standard (no stylistic churn) and باکتریا is registered as an accepted variant.",Ch02,ENGLISH RETAINED,MEDIUM
پاراسلولار,Paracellular,,,پاراسلولار (Paracellular),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"English term retained. The book writes «(paracellular seal)» rather than a Dari coinage, per rule 4 (do not invent).",Ch04,ENGLISH RETAINED,HIGH
دوا,Drug / medicine,,,دوا (Drug / medicine),دارو;داروی;دارویی;داروها;داروهای;داروهایی;داروهایش,ادویه;دواخانه;دواسازی,Afghan MoPH official recruitment register (moph.gov.af) — «خدمات به شمول دوا غذا رایگان»، «دواخانه»، «دواسازی»؛ «اداره ملی ادویه و غذا» (dpmea.gov.af) «محصولات دوایی»,"Afghan register. MoPH-sector text: «تمامی خدمات به شمول دوا غذا رایگان است»، «کیفیت دواهای در حال فروش»، «دواخانه»، «دواسازی»، «مصارف ادویه». Afghanistan's medicines regulator is literally «اداره ملی ادویه و غذا» (dpmea.gov.af), whose own text writes «محصولات دوایی» and «قاچاق دوا ها». Afghan hospitals: «با استفاده از روش‌های تداوی مختلفی از جمله دواهای مرتبط». دارو does still appear in Afghan journalistic prose, so this is a REGISTER standardisation, not a hard ban. Keep the family: دوا / دوایی / دواخانه / ادویه / دواسازی.",Ch2 (drug-metabolising SER); Ch3 (chemotherapy),AFGHAN STANDARD,MEDIUM
کیموتراپی,Chemotherapy,,,کیموتراپی (Chemotherapy),شیمی‌درمانی;شیمی درمانی;کیمیا تداوی;کیمیا‌تداوی;کیمیا درمانی,,"Afghan doctors' clinical writing, afghan-doctors.com — «شیوه‌های مختلف تداوی … تداوی دوایی، تداوی اشعوی، کیموتراپی و جراحی»",Afghan/Arabic transliteration in current Afghan use (کیموتراپی). «کیمیا تداوی» and «کیمیا‌تداوی» are recorded as forbidden because they are also the exact artefact produced when a rule replaces شیمی inside شیمی‌درمانی — forbid them so the artefact can never reappear. [NON-CANONICAL: کیمیا تداوی;کیمیا درمانی;کیمیا‌تداوی],Ch3 (stage-specific chemotherapy),COMMON AFGHAN TRANSLITERATION,HIGH
کلیه,Kidney,,,کلیه (Kidney),,گرده,Afghan MoPH official recruitment register (moph.gov.af) — «امراض کلیه، از جمله عدم کفایه کلیه (گرده)»,Formal anatomical register. Afghan MoPH nephrology posting: «امراض کلیه، از جمله عدم کفایه کلیه (گرده)» — i.e. Afghan official medical writing uses کلیه as the term and glosses it with the colloquial گرده. Both are Afghan; کلیه is the one that belongs in a histology text. NOT an Iranian-specific form.,Ch2 (cilium flow sensor); Ch4; Ch5 (macrophage location),AFGHAN STANDARD,MEDIUM
کبد,Liver,,,کبد (Liver),,جگر,Afghan MoPH official recruitment register (moph.gov.af) — «لوبول کبد» (Afghan histology text S5),"Afghan clinical text writes both: «امراض کبدی یا جگر، مانند سیروز، صفرا، سرطان کبد و هپاتیت» (Afghan hospital) — کبد as the technical term, جگر as the everyday gloss. Both are Afghan; کبد is the register of a histology textbook.","Ch2 (SER, hepatocytes)",AFGHAN STANDARD,MEDIUM
ریه,Lung,,,ریه (Lung),,,Afghan hospital clinical text (mehrabanhospital.af) — «کیست ها و تومورهای ریه»، «بذل پریکارد قلب و ریه»؛ a second Afghan hospital department list uses «شش»,"Both ریه and شش are Afghan. Afghan hospital: «کیست ها و تومورهای ریه»، «بذل پریکارد قلب و ریه»؛ Afghan hospital department list uses «شش». The book is internally consistent on ریه, so ریه»؛ Afghan hospital department list uses «شش». The book is internally consistent on ریه. NOTE: شش is NOT in accepted_variants — in this book شش is the numeral 'six' («شش ویژگی»، «شش وظیفه»), so a variant registration would produce a meaningless inconsistency flag. Recorded here in usage_notes instead.",Ch2; Ch4; Ch5,AFGHAN STANDARD,MEDIUM
پانکراس,Pancreas,,,پانکراس (Pancreas),,لوزالمعده,Afghan hospital clinical text (mehrabanhospital.af) — «مری، معده، روده کوچک، روده بزرگ، کبد، لوزالمعده»,"Afghan hospitals write «لوزالمعده» («... مانند مری، معده، روده کوچک، روده بزرگ، کبد، لوزالمعده»); پانکراس is the international transliteration and is what students meet in exam questions. Both are Afghan — kept پانکراس, لوزالمعده registered as an accepted variant.",Ch2 (RER-rich acinar cell); Ch4,COMMON AFGHAN TRANSLITERATION,MEDIUM
آلرژی,Allergy,,,آلرژی (Allergy),,,"Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit. Kept deliberately: Afghan clinical text uses «حساسیت» for allergy, but in this book حساسیت already means hypersensitivity («حساسیت فوری»), a different concept, so substituting would collide.","Kept. Afghan hospital text uses «تداوی حساسیت های...» (حساسیت) for allergy, but in this book حساسیت is reserved for the DIFFERENT concept hypersensitivity/sensitivity («حساسیت فوری»، «حساسیت زیاد»), so replacing it would create a collision. آلرژی is a transliteration current in Afghanistan, not an Iranian-specific form. Do NOT register حساسیت as a variant here.",Ch4/Ch5 (Type I hypersensitivity),COMMON AFGHAN TRANSLITERATION,MEDIUM
غشا,Membrane,,,غشا (Membrane),,غشاء,"Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit. Orthographic variant only (غشا / غشاء); the book uses غشا consistently (302x, غشاء 0x).","Orthographic variant only: غشا / غشاء. Both occur in Afghan and Iranian writing; the book uses غشا consistently (302 uses, غشاء 0). Purely a consistency note — no contamination involved.",Whole book,AFGHAN STANDARD,MEDIUM
پروتئین,Protein,,,پروتئین (Protein),,پروتین,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «پیش‌رشته‌ها از دو نوع پروتئین کروی مشابه … تشکیل شده‌اند»؛ ME7/ME12 use the simplified spelling «پروتین»","International transliteration; standard in Afghan medical writing. A simplified spelling پروتین occurs in Dari but is not the Afghan medical standard, so it is recorded only as an accepted variant, not as a preferred form.",Whole book,AFGHAN STANDARD,HIGH
عفونت,Infection,,,عفونت (Infection),,,"Afghan clinical directory entry, Kabul infectious-disease practice (findglocal AF) — «تداوی امراض مختلفه انتانی (عفونت، مکروبی)»؛ MoE Grade 8 uses «انتانی»","Kept. Afghan clinic register: «تداوی امراض مختلفه انتانی (عفونت، مکروبی)» — i.e. Afghan usage pairs the adjective انتانی (infectious; cf. «شفاخانه انتانی»، «امراض انتانی») with the noun عفونت, which is current in Afghanistan. Not registered as a variant of انتانی: different part of speech, so an INCONSIST flag would be meaningless.",Ch3; Ch4; Ch5,AFGHAN STANDARD,MEDIUM
لنفوئید,Lymphoid,,,لنفوئید (Lymphoid),,لمفوئید;لمفاوی,"Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit. Related Afghan form لنفاوی is attested (Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) «ندول لنفاوی»); the -oid adjective itself is a direct transliteration.","Afghan histology teaching uses لنفاوی for lymphatic (Afghan faculty text: «ندول لنفاوی»); the -oid adjective is لنفوئید. The book had split across لمفوئید (2), لمفاوی (2) and لنفاوی (21) — an internal split, not a second Afghan standard, so all three were unified. CONFIDENCE MEDIUM: no Afghan source was found that writes لنفوئیدی explicitly.",Ch2; Ch4; Ch5,AFGHAN STANDARD,MEDIUM
نسج شحمی,Adipose tissue,,,نسج شحمی (Adipose tissue),,,"Composed of two forms already canonical in this glossary: نسج (Afghan MoE Grade-7 «انساج») + شحمی (recorded here as the Afghan adjective for adipose/fatty). The assembled phrase was not located verbatim in an Afghan document, so this entry is MEDIUM confidence rather than HIGH. Nothing new was coined: no morpheme was translated and no compound was constructed.",CANONICAL for this book. White adipose tissue = نسج شحمی سفید; brown = نسج شحمی قهوه‌ای. The English term follows in parentheses at first use in each chapter.,Ch06; Ch05,AFGHAN STANDARD,MEDIUM
ادیپوسیت,Adipocyte,,,ادیپوسیت (Adipocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Established international transliteration; no Afghanistan-specific documentary source located. The transparent Dari descriptor «حجره شحمی» may be used in running prose as an explanation (it is built from the canonical حجره + شحمی); it is not registered as a competing form because the text uses ادیپوسیت throughout.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
پری‌ادیپوسیت,Preadipocyte,,,پری‌ادیپوسیت (Preadipocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration, consistent with ادیپوسیت.",Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
لیپید,Lipid,,,لیپید (Lipid),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Standard in Afghan medical writing (the book uses it throughout Ch1–Ch5). The ordinary Dari word چربی names the same substance in everyday and school usage and is NOT prohibited; the book uses لیپید where the scientific sense is meant.,Whole book,COMMON AFGHAN TRANSLITERATION,MEDIUM
تری‌گلیسرید,Triglyceride,,,تری‌گلیسرید (Triglyceride),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Standard transliteration; the storage form of energy in adipocytes.,Ch02; Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
گلیسرول,Glycerol,,,گلیسرول (Glycerol),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
اسیدهای شحمی,Fatty acids,,,اسیدهای شحمی (Fatty acids),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Uses the canonical Afghan adjective شحمی. «اسیدهای چرب» (the ordinary-word form) is not prohibited but is not used as the scientific term in this book.,Ch06,AFGHAN STANDARD,MEDIUM
لیپولیز,Lipolysis,,,لیپولیز (Lipolysis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
لپتین,Leptin,,,لپتین (Leptin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. Adipocyte hormone signalling energy stores to the hypothalamus.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
ادیپونکتین,Adiponectin,,,ادیپونکتین (Adiponectin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
انسولین,Insulin,,,انسولین (Insulin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
کاتیکولامین,Catecholamine,,,کاتیکولامین (Catecholamine),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; spelled کاتیکولامین rather than the Persian کتکولامین.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
ترموجنین,Thermogenin (UCP1),UCP1,,ترموجنین (Thermogenin (UCP1)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. Uncoupling protein 1 of the inner mitochondrial membrane; the molecular basis of non-shivering thermogenesis in brown adipose tissue.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
Unilocular,Unilocular,,,Unilocular (Unilocular),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Retained in English: the term describes a single lipid droplet filling the cell, and no Afghan Dari form was located. «تک‌قطره‌ای» is NOT used — it would be a constructed compound.",Ch06,ENGLISH RETAINED,MEDIUM
Multilocular,Multilocular,,,Multilocular (Multilocular),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Retained in English for the same reason as Unilocular. «چندقطره‌ای» is NOT used.,Ch06,ENGLISH RETAINED,MEDIUM
هیپوترمیا,Hypothermia,,,هیپوترمیا (Hypothermia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration, current in Afghan clinical writing.",Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
چاقی,Obesity,,,چاقی (Obesity),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Ordinary Dari/Persian word, not a constructed compound; used for the clinical condition.",Ch06,AFGHAN STANDARD,MEDIUM
لیپوما,Lipoma,,,لیپوما (Lipoma),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; benign tumour of adipocytes.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
لیپوسارکوم,Liposarcoma,,,لیپوسارکوم (Liposarcoma),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; malignant tumour of adipocytes.,Ch06,COMMON AFGHAN TRANSLITERATION,MEDIUM
هورمون,Hormone,,,هورمون (Hormone),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Standard transliteration, already used throughout Ch1–Ch5.",Whole book,COMMON AFGHAN TRANSLITERATION,MEDIUM
غضروف,Cartilage,,,غضروف (Cartilage),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Already used throughout Ch5 («انساجِ همبند تخصص‌یافته: غضروف، استخوان…»). Registered here as the chapter term. Ordinary Dari word, not a construction.",Ch05; Ch07,AFGHAN STANDARD,HIGH
کندروبلاست,Chondroblast,,,کندروبلاست (Chondroblast),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Established international transliteration; the immature cartilage-forming cell.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
کندروسیت,Chondrocyte,,,کندروسیت (Chondrocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Established international transliteration; the mature cartilage cell in its lacuna.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
کندروژنیک,Chondrogenic,,,کندروژنیک (Chondrogenic),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; describes the chondrogenic layer of the perichondrium and the chondrogenic cells from which cartilage arises.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
پریکندریوم,Perichondrium,,,پریکندریوم (Perichondrium),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. Retained rather than translating to a Dari compound. Not present on fibrocartilage or on articular surfaces.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
لاکونا,Lacuna,,,لاکونا (Lacuna),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the space in the matrix that houses a chondrocyte.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
غضروف هایالین,Hyaline cartilage,,,غضروف هایالین (Hyaline cartilage),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Assembled from the canonical غضروف + the established transliteration هایالین. The most common cartilage type. «شیشه‌ای» is the calque form and is NOT used.,Ch07,AFGHAN STANDARD,MEDIUM
غضروف الاستیک,Elastic cartilage,,,غضروف الاستیک (Elastic cartilage),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Canonical غضروف + established transliteration الاستیک.,Ch07,AFGHAN STANDARD,MEDIUM
غضروف الیافی,Fibrocartilage,,,غضروف الیافی (Fibrocartilage),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Canonical غضروف + الیافی (the book's term for fibrous, from الیاف). The literal compound «فیبروکندریوم» is NOT used.",Ch07,AFGHAN STANDARD,MEDIUM
کندرویتین سلفات,Chondroitin sulfate,,,کندرویتین سلفات (Chondroitin sulfate),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the main glycosaminoglycan of cartilage matrix.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
کراتان سلفات,Keratan sulfate,,,کراتان سلفات (Keratan sulfate),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
آگرکان,Aggrecan,,,آگرکان (Aggrecan),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the large aggregating proteoglycan of cartilage matrix.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
کندروکلسین,Chondrocalcin,,,کندروکلسین (Chondrocalcin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; a calcium-binding protein of cartilage matrix.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
پریکندریوم کندروژنیک,Chondrogenic layer,,,پریکندریوم کندروژنیک (Chondrogenic layer),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the canonical پریکندریوم + کندروژنیک.,Ch07,AFGHAN STANDARD,MEDIUM
Isogenous group,Isogenous group,,,Isogenous group (Isogenous group),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"RETAINED IN ENGLISH. This is the standard term for a cluster of chondrocytes derived from one cell. A Dari equivalent («گروه هم‌منشأ») would be constructed, so it is not used. May be introduced once with a short Dari explanation.",Ch07,ENGLISH RETAINED,MEDIUM
استئوآرتریت,Osteoarthritis,,,استئوآرتریت (Osteoarthritis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the clinical condition of cartilage degeneration.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
آکندروپلازی,Achondroplasia,,,آکندروپلازی (Achondroplasia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the classic disorder of endochondral ossification.,Ch07; Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
کندروسارکوم,Chondrosarcoma,,,کندروسارکوم (Chondrosarcoma),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; malignant tumour of cartilage.,Ch07,COMMON AFGHAN TRANSLITERATION,MEDIUM
استئوبلاست,Osteoblast,,,استئوبلاست (Osteoblast),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Established international transliteration; the bone-forming cell.,Ch07; Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
استئوسیت,Osteocyte,,,استئوسیت (Osteocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the mature bone cell in its lacuna.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
استئوکلاست,Osteoclast,,,استئوکلاست (Osteoclast),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the multinucleated bone-resorbing cell of the monocyte/macrophage lineage.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
